Dates;Open;Close;High;Low
18/04/2019 13:09:00;3,9358;3,9358;3,936;3,9353
18/04/2019 13:10:00;3,9358;3,9365;3,9365;3,9356
18/04/2019 13:11:00;3,9365;3,9373;3,9373;3,9365
18/04/2019 13:12:00;3,9373;3,9382;3,9385;3,9373
18/04/2019 13:13:00;3,9382;3,9395;3,9395;3,9382
18/04/2019 13:14:00;3,9395;3,9404;3,9405;3,9395
18/04/2019 13:15:00;3,9404;3,9411;3,9411;3,9402
18/04/2019 13:16:00;3,9411;3,9408;3,9415;3,9408
18/04/2019 13:17:00;3,9408;3,9402;3,941;3,9402
18/04/2019 13:18:00;3,9402;3,9396;3,9402;3,9396
18/04/2019 13:19:00;3,9396;3,9388;3,9403;3,9387
18/04/2019 13:20:00;3,9389;3,9372;3,9389;3,937
18/04/2019 13:21:00;3,9372;3,9371;3,9374;3,9366
18/04/2019 13:22:00;3,9372;3,9386;3,9386;3,937
18/04/2019 13:23:00;3,9386;3,9395;3,9398;3,9384
18/04/2019 13:24:00;3,9395;3,9375;3,9395;3,9374
18/04/2019 13:25:00;3,9375;3,9378;3,9381;3,9374
18/04/2019 13:26:00;3,9378;3,9358;3,9378;3,9358
18/04/2019 13:27:00;3,9358;3,936;3,9368;3,9358
18/04/2019 13:28:00;3,936;3,9365;3,9366;3,936
18/04/2019 13:29:00;3,9365;3,936;3,9368;3,9355
18/04/2019 13:30:00;3,936;3,9343;3,9361;3,9343
18/04/2019 13:31:00;3,9343;3,9342;3,9347;3,9339
18/04/2019 13:32:00;3,9342;3,9345;3,9346;3,9342
18/04/2019 13:33:00;3,9345;3,9344;3,935;3,9342
18/04/2019 13:34:00;3,9344;3,9341;3,9348;3,9341
18/04/2019 13:35:00;3,9342;3,9352;3,9352;3,9341
18/04/2019 13:36:00;3,9351;3,9355;3,9355;3,9349
18/04/2019 13:37:00;3,9355;3,9353;3,9356;3,9351
18/04/2019 13:38:00;3,9353;3,936;3,936;3,9353
18/04/2019 13:39:00;3,9361;3,9361;3,9362;3,9356
18/04/2019 13:40:00;3,9361;3,9354;3,9361;3,9353
18/04/2019 13:41:00;3,9354;3,9356;3,9357;3,9354
